[15:37:13] [main/INFO]: ModLauncher running: args [--username, Herobrine52, --version, forge-47.3.11, --gameDir, C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9, --assetsDir, C:\Users\Francesco\curseforge\minecraft\Install\assets, --assetIndex, 5, --uuid, 812cfdb04240407696a33ebb5e9632fd, --accessToken, ????????, --clientId, OWNlNWU0ZWMtOWJhMS00ZjA5LTkxYzAtNzQ1MGE1ODFmNGE4, --xuid, 2535441942000687, --userType, msa, --versionType, release, --width, 854, --height, 480, --quickPlayPath, C:\Users\Francesco\curseforge\minecraft\Install\quickPlay\java\1737124631146.json, --launchTarget, forgeclient, --fml.forgeVersion, 47.3.11, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[15:37:13] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.8 by Microsoft; OS Windows 10 arch amd64 version 10.0
[15:37:13] [main/WARN]: Configuration file C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\config\fml.toml is not correct. Correcting
[15:37:13] [main/INFO]: Incorrect key [earlyWindowLogHelpMessage] was corrected from null to true
[15:37:13] [main/INFO]: Incorrect key [earlyWindowShowCPU] was corrected from null to false
[15:37:16] [main/INFO]: Loading ImmediateWindowProvider fmlearlywindow
[15:37:16] [main/INFO]: Trying GL version 4.6
[15:37:16] [main/INFO]: If this message is the only thing at the bottom of your log before a crash, you probably have a driver issue.

Possible solutions:
A) Make sure Minecraft is set to prefer high performance graphics in the OS and/or driver control panel
B) Check for driver updates on the graphics brand's website
C) Try reinstalling your graphics drivers
D) If still not working after trying all of the above, ask for further help on the Forge forums or Discord
[15:37:18] [main/INFO]: Found mod file polymorph-forge-0.49.8+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file ponderjs-1.20.1-1.4.0.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file Potion-Blender-1.20.1-FORGE-3.1.2.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file potionsmaster-1.20.1-47.1.70-0.6.0.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file Powah-5.0.7.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file productivebees-1.20.1-12.6.0.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file productivetrees-1.20.1-0.2.6.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file pylons-1.20.1-4.2.1.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file Quark-4.0-460.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file railcraft-reborn-1.20.1-1.1.8.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file rangedpumps-1.1.0.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file rebornstorage-1.20.1-5.0.7.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file rechiseled-1.1.6-forge-mc1.20.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file rechiseledcreate-1.0.2-forge-mc1.20.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file redstone_arsenal-1.20.1-8.0.1.24.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file refinedpolymorph-0.1.1-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file refinedstorage-1.12.4.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file refinedstorageaddons-0.10.0.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file reliquary-1.20.1-2.0.45.1248.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file repurposed_structures-7.1.15+1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file resourcefulconfig-forge-1.20.1-2.1.2.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file resourcefullib-forge-1.20.1-2.1.29.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file rftoolsbase-1.20-5.0.5.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file rftoolsbuilder-1.20-6.0.8.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file rftoolscontrol-1.20-7.0.3.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file rftoolspower-1.20-6.0.2.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file rftoolsstorage-1.20-5.0.3.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file rftoolsutility-1.20-6.0.6.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file rhino-forge-2001.2.3-build.6.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file RSInfinityBooster-1.20.1-1.0+39.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file rsinsertexportupgrade-1.20.1-1.4.0.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file rsrequestify-1.20.1-2.3.3.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file Runelic-Forge-1.20.1-18.0.2.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file ScalableCatsForce-3.3.1-build-0-with-library.jar of type LANGPROVIDER with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file Searchables-forge-1.20.1-1.0.3.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file serverconfigupdater-4.0.2.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file shetiphiancore-forge-1.20.1-1.4.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file Shrink-1.20.1-1.4.5.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file silent-gear-1.20.1-3.6.6.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file silent-lib-1.20.1-8.0.0.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file SimpleBackups-1.20.1-3.1.8.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file simplemagnets-1.1.12-forge-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file simplylight-1.20.1-1.4.6-build.50.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file sliceanddice-forge-3.3.0.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file SmartBrainLib-forge-1.20.1-1.15.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file sodiumdynamiclights-forge-1.0.10-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file sodiumoptionsapi-forge-1.0.9-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file solcarrot-1.20.1-1.15.1.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file sophisticatedbackpacks-1.20.1-3.21.2.1163.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file sophisticatedcore-1.20.1-1.0.6.824.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file sophisticatedstorage-1.20.1-1.0.5.997.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file spark-1.10.53-forge.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file sparsestructuresreforged-1.20.1-1.0.0.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file Stargate Journey-1.20.1-0.6.33.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file Steam_Rails-1.6.7+forge-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file Structory_1.20.x_v1.3.5.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file structure_gel-1.20.1-2.16.2.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file StructureCompass-1.20.1-2.1.0.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file structurize-1.20.1-1.0.763-snapshot.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file stylecolonies-1.11-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file Super Factory Manager-1.20.1-4.19.0.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file supermartijn642configlib-1.1.8-forge-mc1.20.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file supermartijn642corelib-1.1.18-forge-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file supplementaries-1.20-3.1.11.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file sushigocrafting-1.20.1-0.5.3.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file tempad-forge-1.20.1-2.3.4.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file TerraBlender-forge-1.20.1-3.0.1.7.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file Terralith_1.20.x_v2.5.4.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file The_Undergarden-1.20.1-0.8.14.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file thermal_cultivation-1.20.1-11.0.1.24.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file thermal_dynamics-1.20.1-11.0.1.23.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file thermal_expansion-1.20.1-11.0.1.29.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file thermal_foundation-1.20.1-11.0.6.70.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file thermal_innovation-1.20.1-11.0.1.23.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file thermal_integration-1.20.1-11.0.1.27.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file thermal_locomotion-1.20.1-11.0.1.19.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file ThermalExtra-3.2.2-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file theurgy-1.20.1-1.23.1.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file time-in-a-bottle-4.0.4-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file tinyredstone-1.20-5.0.3.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file titanium-1.20.1-3.8.32.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file ToastControl-1.20.1-8.0.3.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file tombstone-1.20.1-8.8.6.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file ToolBelt-1.20.1-1.20.02.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file torchmaster-20.1.9.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file totw_modded-forge-1.20.1-1.0.5.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file Towns-and-Towers-1.12-Fabric+Forge.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file towntalk-1.20.1-1.1.0.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file trashcans-1.0.18b-forge-mc1.20.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file trashslot-forge-1.20-15.1.0.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file travelersbackpack-forge-1.20.1-9.1.16.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file Twigs-1.20.1-3.1.0.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file twilightdelight-2.0.13.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file twilightforest-1.20.1-4.3.2508-universal.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file universalgrid-1.20.1-1.1.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file utilitarian-1.20.1-0.9.1.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file UtilitiX-1.20.1-0.8.23.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file valhelsia_core-forge-1.20.1-1.1.2.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file villagertools-1.20.1-1.0.3.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file Voidscape-1.20.1-1.5.389.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file voidtotem-forge-1.20-3.0.1.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file waystones-forge-1.20-14.1.6.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file wirelesschargers-1.0.9a-forge-mc1.20.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file WitherSkeletonTweaks-1.20.1-9.1.0.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file xnet-1.20-6.1.6.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file xnetgases-1.20.1-5.1.4.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file YeetusExperimentus-Forge-2.3.1-build.6+mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file YungsApi-1.20-Forge-4.0.6.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file YungsBetterDesertTemples-1.20-Forge-3.0.3.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file YungsBetterDungeons-1.20-Forge-4.0.4.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file YungsBetterEndIsland-1.20-Forge-2.0.6.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file YungsBetterJungleTemples-1.20-Forge-2.0.5.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file YungsBetterMineshafts-1.20-Forge-4.0.4.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file YungsBetterNetherFortresses-1.20-Forge-2.0.6.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file YungsBetterOceanMonuments-1.20-Forge-3.0.4.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file YungsBetterStrongholds-1.20-Forge-4.0.3.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file YungsBetterWitchHuts-1.20-Forge-3.0.3.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file YungsExtras-1.20-Forge-4.0.3.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file ZeroCore2-1.20.1-2.1.47.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file Zeta-1.0-24.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/WARN]: Mod file C:\Users\Francesco\curseforge\minecraft\Install\libraries\net\minecraftforge\fmlcore\1.20.1-47.3.11\fmlcore-1.20.1-47.3.11.jar is missing mods.toml file
[15:37:18] [main/WARN]: Mod file C:\Users\Francesco\curseforge\minecraft\Install\libraries\net\minecraftforge\javafmllanguage\1.20.1-47.3.11\javafmllanguage-1.20.1-47.3.11.jar is missing mods.toml file
[15:37:18] [main/WARN]: Mod file C:\Users\Francesco\curseforge\minecraft\Install\libraries\net\minecraftforge\lowcodelanguage\1.20.1-47.3.11\lowcodelanguage-1.20.1-47.3.11.jar is missing mods.toml file
[15:37:18] [main/WARN]: Mod file C:\Users\Francesco\curseforge\minecraft\Install\libraries\net\minecraftforge\mclanguage\1.20.1-47.3.11\mclanguage-1.20.1-47.3.11.jar is missing mods.toml file
[15:37:18] [main/INFO]: Found mod file fmlcore-1.20.1-47.3.11.jar of type LIBRARY with provider net.minecraftforge.fml.loading.moddiscovery.MinecraftLocator@17143b3b
[15:37:18] [main/INFO]: Found mod file javafmllanguage-1.20.1-47.3.11.jar of type LANGPROVIDER with provider net.minecraftforge.fml.loading.moddiscovery.MinecraftLocator@17143b3b
[15:37:18] [main/INFO]: Found mod file lowcodelanguage-1.20.1-47.3.11.jar of type LANGPROVIDER with provider net.minecraftforge.fml.loading.moddiscovery.MinecraftLocator@17143b3b
[15:37:18] [main/INFO]: Found mod file mclanguage-1.20.1-47.3.11.jar of type LANGPROVIDER with provider net.minecraftforge.fml.loading.moddiscovery.MinecraftLocator@17143b3b
[15:37:18] [main/INFO]: Found mod file client-1.20.1-20230612.114412-srg.jar of type MOD with provider net.minecraftforge.fml.loading.moddiscovery.MinecraftLocator@17143b3b
